1;[1, 568, 0.872]
1;[2, 827, 0.878]
1;[3, 11, 0.898]
1;[4, 711, 0.902]
1;[5, 712, 0.902]
1;[6, 52, 0.916]
1;[7, 461, 0.917]
1;[8, 823, 0.929]
1;[9, 958, 0.937]
1;[10, 512, 0.949]
1;[11, 40, 0.964]
1;[12, 41, 0.965]
1;[13, 566, 0.966]
1;[14, 901, 0.967]
1;[15, 735, 0.967]
1;[16, 852, 0.969]
1;[17, 1171, 0.969]
1;[18, 1161, 0.971]
1;[19, 1150, 0.972]
1;[20, 1136, 0.976]
1;[21, 831, 0.977]
1;[22, 536, 0.979]
1;[23, 1209, 0.98]
1;[24, 572, 0.98]
1;[25, 427, 0.982]
1;[26, 915, 0.984]
1;[27, 906, 0.985]
1;[28, 551, 0.988]
1;[29, 1225, 0.988]
1;[30, 595, 0.99]
1;[31, 1118, 0.99]
1;[32, 298, 0.991]
1;[33, 1054, 0.991]
1;[34, 928, 0.992]
1;[35, 780, 0.992]
1;[36, 3, 0.993]
1;[37, 1, 0.993]
1;[38, 1007, 0.993]
1;[39, 1060, 0.993]
1;[40, 697, 0.993]
1;[41, 204, 0.994]
1;[42, 829, 0.994]
1;[43, 1069, 0.994]
1;[44, 1223, 0.994]
1;[45, 916, 0.995]
1;[46, 715, 0.995]
1;[47, 1057, 0.995]
1;[48, 729, 0.995]
1;[49, 1190, 0.995]
1;[50, 907, 0.995]
1;[51, 923, 0.996]
1;[52, 1239, 0.996]
1;[53, 1132, 0.996]
1;[54, 992, 0.996]
1;[55, 1214, 0.997]
1;[56, 1024, 0.997]
1;[57, 554, 0.997]
1;[58, 1070, 0.997]
1;[59, 170, 0.997]
1;[60, 1114, 0.997]
1;[61, 772, 0.997]
1;[62, 874, 0.997]
1;[63, 934, 0.997]
1;[64, 191, 0.997]
1;[65, 929, 0.998]
1;[66, 1141, 0.998]
1;[67, 221, 0.998]
1;[68, 886, 0.998]
1;[69, 605, 0.998]
1;[70, 932, 0.998]
1;[71, 839, 0.998]
2;[1, 1, 0.812]
2;[2, 1223, 0.864]
2;[3, 298, 0.886]
2;[4, 711, 0.897]
2;[5, 712, 0.897]
2;[6, 1080, 0.906]
2;[7, 107, 0.914]
2;[8, 137, 0.918]
2;[9, 427, 0.921]
2;[10, 1109, 0.923]
2;[11, 41, 0.925]
2;[12, 551, 0.93]
2;[13, 1171, 0.931]
2;[14, 568, 0.934]
2;[15, 874, 0.934]
